Delta,Omega,Re[rho_eg],Im[rho_eg],rho_ee,SSRe[rho_eg],SSIm[rho_eg],SSrho_ee,ss
1,6,0.29463140940138843,-0.314430565339219,0.7509444329515922,0.037604414402171514,-0.12449595884252426,0.13884158839840338,1
1,6,-0.3130634178002383,0.19304249942119145,0.4714403263288387,0.03760441440187377,-0.12449595884255843,0.13884158839838343,1
1,6,-0.17469806358877626,-0.45201537316765084,0.37734089468137566,0.03760441440217172,-0.12449595884252425,0.1388415883984033,1
1,6,0.08580584611274022,-0.10424491053475671,0.4663854157816565,0.03760441440217139,-0.12449595884252429,0.13884158839840338,1
1,6,0.035225564757198624,-0.3569914621418353,0.6596539629280256,0.03760441440217147,-0.12449595884252428,0.13884158839840338,1
1,6,-0.3186070683736768,0.24201593382859832,0.18051728759912256,0.03760441440217168,-0.12449595884252428,0.13884158839840335,1
1,6,-0.37270420855871245,-0.2923221735770478,0.4654971000606727,0.03760441440217172,-0.12449595884252426,0.13884158839840333,1
1,6,-0.3537713134163609,0.1933574191070495,0.06896749888659692,0.03760441440217148,-0.12449595884252429,0.13884158839840335,1
1,6,-0.07922210917544548,0.024929186235613576,0.47267687734970476,0.037604414402171375,-0.12449595884252428,0.13884158839840338,1
1,6,-0.23553945414793231,0.018220121032590075,0.997188412585331,0.03760441440217164,-0.12449595884252429,0.1388415883984034,1
1,6,0.4586666724637025,-0.4541741834927604,0.6685596948744501,0.037604414402171715,-0.12449595884252426,0.13884158839840335,1
1,6,0.2047088375513877,0.2999655815179607,0.5603653638509989,0.03760441440217191,-0.12449595884252425,0.13884158839840335,1
1,6,-0.07690635373107191,0.33465013158931134,0.30289973942511184,0.037604414402171715,-0.12449595884252426,0.13884158839840338,1
1,6,0.3143757344759075,0.08501941239950805,0.5872443566308774,0.03760441440217181,-0.12449595884252425,0.13884158839840338,1
1,6,0.11063290780658952,0.18554352992101975,0.8731603330699864,0.037604414402171805,-0.12449595884252426,0.13884158839840338,1
1,6,0.37119697216793357,-0.1802786534637375,0.5893716131598812,0.037604414402171736,-0.12449595884252425,0.13884158839840338,1
