Delta,Omega,Re[rho_eg],Im[rho_eg],rho_ee,SSRe[rho_eg],SSIm[rho_eg],SSrho_ee,ss
5,15,-0.05185179014489383,-0.39862753450364763,0.9430139911073061,0.39340585110506526,-0.2451880264812819,0.15411847630618972,1
5,15,-0.16852630981875438,-0.4370225475884042,0.005214774339479478,0.3934075940422606,-0.24518665771744602,0.1541167862048793,1
5,15,-0.27455623683728114,-0.492796330812421,0.6585023463213617,0.3934070387721246,-0.24518709356217253,0.1541173123555817,1
5,15,0.35773599310842497,0.4999216332734653,0.22293138173883986,0.39340765606596073,-0.24518660992682612,0.15411668627834968,1
5,15,-0.26573639809214433,0.380605301360444,0.901663492628056,0.39340700204653795,-0.2451871238691823,0.1541173347642532,1
5,15,0.14102261554968254,-0.2610058540281548,0.5143470860207007,0.3934068459845031,-0.24518724552932908,0.15411749670533745,1
5,15,0.48632032665492586,-0.03564693745539249,0.7284574074775045,0.393407346986098,-0.2451868520913601,0.15411701155140387,1
5,15,0.17511532745924696,0.4603319740098788,0.688763149517539,0.39340816262239314,-0.24518621177276329,0.15411621091847455,1
5,15,0.2887238020242522,0.2692834357089635,0.42201710771127376,0.3934063175604293,-0.24518766035446982,0.15411801754040702,1
5,15,-0.05331317421625803,0.09459674213696534,0.9062889134851508,0.39340720487798114,-0.24518696371107337,0.15411714805946403,1
5,15,-0.11929452800635021,0.11523229937814561,0.24581872879439914,0.39340754474593065,-0.24518669687176342,0.15411681507165384,1
5,15,0.4993764378479726,-0.13852714188012571,0.40064055528297593,0.3934076564620844,-0.24518660929184988,0.1541166980204639,1
5,15,0.2211035209523291,-0.05621375425546549,0.9713281341783191,0.3934066093191596,-0.24518743145491612,0.1541177200392724,1
5,15,0.3269197053406001,0.11823894789251033,0.40990378673207806,0.3934069862314766,-0.24518713517705135,0.15411737157416494,1
5,15,0.13660734381697326,0.08059075191166798,0.19690254699253118,0.3934082171377533,-0.24518616895839532,0.15411615618593336,1
5,15,-0.015024882404075734,0.31139208756846837,0.11383986849591587,0.39340682318172926,-0.24518726320164932,0.15411753065164915,1
5,15,-0.020308161283249193,-0.26185335428483003,0.0513326642483376,0.39340586166476993,-0.24518801825865283,0.1541184643303933,1
5,15,-0.12304909682875076,0.25708857729145174,0.6276555076611727,0.39340736137248794,-0.24518684070826838,0.15411700998375302,1
5,15,-0.11466574228138038,0.44896156844295065,0.8378905661707188,0.39340787128652827,-0.24518644056163155,0.15411649082482098,1
5,15,-0.26196086613231606,-0.36356014192220854,0.8518742525811847,0.39340795613667445,-0.2451863739753345,0.15411641502740506,1
5,15,0.2309443896355703,0.2634160882802301,0.6282027331330704,0.3934074861005704,-0.24518674298710472,0.1541168677606885,1
5,15,-0.17773720852537966,0.21271269559967276,0.29774081869962465,0.393408282917077,-0.24518611742047378,0.15411608802145452,1
5,15,0.1942704200460177,0.019952483675914845,0.5779962764262403,0.3934083214052746,-0.24518608694758998,0.15411606308619433,1
5,15,0.33736352391719593,0.3666785986922281,0.21260240287248022,0.3934070612975314,-0.24518707683530536,0.15411730675414073,1
5,15,-0.31673814135855216,0.19997568354806217,0.409263584216049,0.3934065892197853,-0.24518744707861023,0.15411775117889148,1
5,15,0.39184718875070756,0.24139306516580694,0.42326884443264934,0.39340705684857696,-0.24518707808470555,0.1541172932757007,1
5,15,0.29398108306501824,0.01861012322208011,0.28259150164841285,0.3934083046607937,-0.24518610030418625,0.1541160673786549,1
