Delta,Omega,Re[rho_eg],Im[rho_eg],rho_ee,SSRe[rho_eg],SSIm[rho_eg],SSrho_ee,ss
-8,3,-0.16419392470615168,-0.10513090803371061,0.5209431899482793,0.012834244289521844,-0.050800403195031534,0.09961991411277718,1
-8,3,-0.2584119970044707,-0.26105784794226894,0.2605085163799443,0.012834243868002177,-0.050800403171744335,0.09961991405012928,1
-8,3,0.06391896736655234,-0.3031218763005561,0.6163890110705257,0.012834243868285683,-0.050800403171759906,0.09961991405017136,1
-8,3,0.259877223396624,-0.0857045945742878,0.03749117716302597,0.012834243867420063,-0.05080040317171982,0.09961991405004993,1
-8,3,-0.37070421308448287,-0.2841187777336369,0.7975973269644017,0.012834243869773953,-0.05080040317184289,0.09961991405039326,1
-8,3,0.1887738073994456,-0.35026199581181117,0.0511252402833442,0.012834243866496108,-0.050800403171660534,0.0996199140499049,1
-8,3,0.45321639514565404,-0.32511583189929394,0.09669693448715244,0.012834243869540116,-0.05080040317182707,0.09961991405035579,1
-8,3,-0.3062604267163107,-0.19173165293202477,0.7623754490937393,0.012834243869149501,-0.0508004031718077,0.09961991405029981,1
-8,3,-0.09298973368224317,0.10256548223802331,0.9715023806678891,0.012834243869233004,-0.0508004031718118,0.09961991405031173,1
-8,3,-0.32530318873853314,-0.10335044746937538,0.9780133045678066,0.012834243866934075,-0.050800403171685125,0.09961991404997038,1
-8,3,-0.1661610564633067,0.1565951778176804,0.4582945961710656,0.012834243869199971,-0.05080040317181026,0.0996199140503071,1
-8,3,-0.08439254629273085,-0.46213455545854853,0.5297882578304862,0.01283424386922092,-0.05080040317181161,0.09961991405031037,1
-8,3,0.4867023068303902,-0.2772932032833981,0.5968144345447086,0.012834243861465542,-0.0508004031713844,0.09961991404915894,1
-8,3,-0.12356368870700885,-0.4025300147414359,0.6643362147031773,0.01283424387010585,-0.050800403171862095,0.0996199140504434,1
-8,3,-0.28732672410725635,0.08252686627730821,0.39922314054020513,0.012834243872073747,-0.050800403171969474,0.09961991405073461,1
-8,3,-0.309689057897224,0.4831622522140646,0.9649181790426293,0.012834243871897138,-0.05080040317195911,0.0996199140507078,1
-8,3,-0.21862400725873798,-0.07271447816188403,0.13639642405974262,0.012834243869021947,-0.050800403171801026,0.09961991405028119,1
-8,3,0.05196018378898626,0.4124372194068655,0.8841143203095139,0.012834243866671428,-0.05080040317167045,0.09961991404993117,1
-8,3,0.3714304120051368,0.16874542048603836,0.19055992658353005,0.012834243869059332,-0.05080040317180359,0.09961991405028722,1
-8,3,0.14142306382315817,-0.48953980494142724,0.548809673770988,0.012834243866354893,-0.05080040317165267,0.09961991404988386,1
-8,3,-0.2539074744955734,0.09428061221791406,0.6681670890797602,0.012834243866232537,-0.05080040317164626,0.09961991404986602,1
-8,3,-0.13898857777518758,0.01168783080175917,0.18647667318998784,0.012834243871885979,-0.05080040317195901,0.09961991405070662,1
-8,3,0.4818422620322542,0.14347464324357895,0.7595602869919011,0.012834243603624519,-0.05080040315710542,0.09961991401080535,1
-8,3,-0.230319289313353,-0.3692484142793633,0.26745324868547526,0.012834243871621657,-0.05080040317194359,0.09961991405066657,1
-8,3,-0.3839213433679294,-0.2209000956626439,0.6834826631346278,0.012834244514590015,-0.050800403207351845,0.09961991414612216,1
-8,3,-0.1316633766319999,-0.12758666200431468,0.5244061308639969,0.012834243866806252,-0.0508004031716785,0.09961991404995178,1
-8,3,-0.4265713192829681,-0.2940202367859215,0.9432917728700583,0.012834243866228296,-0.050800403171645685,0.09961991404986503,1
