Delta,Omega,Re[rho_eg],Im[rho_eg],rho_ee,SSRe[rho_eg],SSIm[rho_eg],SSrho_ee,ss
6,10,0.3723284220842418,0.42994549263545023,0.08254593533456278,0.09050080654388129,-0.2054917225539883,0.1785865787519839,1
6,10,-0.17809091291603352,0.10902695052313982,0.7258427680841932,0.09050080614894154,-0.205491722604748,0.17858657879168513,1
6,10,0.2164716525835968,0.39986627066547875,0.3645936152874816,0.09050080536442663,-0.20549172271773294,0.17858657886666893,1
6,10,-0.44503455153433347,0.0350127681363126,0.2500762425673102,0.09050080647577288,-0.20549172256117823,0.17858657875932965,1
6,10,-0.10877295208394,0.3434945834003065,0.8255303635277995,0.0905008050872402,-0.2054917227571629,0.17858657889332008,1
6,10,-0.2179681064297163,0.20088650891158788,0.7336458067129816,0.09050080574551274,-0.20549172266243015,0.1785865788303788,1
6,10,0.03432267091462471,-0.13469443373069256,0.8667861289627257,0.09050080893805111,-0.20549172220232204,0.17858657852534707,1
6,10,-0.3082345540849103,0.4871505052880858,0.16573607028058523,0.09050080612040709,-0.2054917226124166,0.1785865787932769,1
6,10,0.09802420854655192,-0.38687689963263394,0.5102405284939175,0.09050080710598228,-0.20549172246865038,0.17858657869965633,1
6,10,0.17653395981696285,0.09008591139452093,0.24931806995136507,0.09050080635424268,-0.20549172257871406,0.1785865787709347,1
6,10,-0.47330244089978457,0.07241581222074012,0.20588337625718833,0.0905008052162888,-0.20549172274136973,0.17858657888009458,1
6,10,0.05799947114717874,-0.3499539953166615,0.8840205548438558,0.09050080618453293,-0.20549172260209425,0.17858657878749448,1
6,10,0.3283162797238848,0.3965961409152061,0.760503378411149,0.09050080607059531,-0.20549172261757376,0.17858657879868126,1
6,10,0.47798156675216363,-0.2532080510333976,0.4625513523999034,0.09050080648451564,-0.20549172255991643,0.178586578758495,1
6,10,-0.14597210327331633,-0.10707574461959957,0.768920385636761,0.0905008057922687,-0.20549172265732088,0.17858657882539147,1
6,10,0.2691297854925834,-0.2187086172854169,0.37904990807179506,0.09050080645670167,-0.20549172256308765,0.17858657876142003,1
6,10,0.05184708185440057,0.25303777173830944,0.03999443802154912,0.09050080727745272,-0.20549172244885447,0.1785865786817044,1
6,10,-0.3980140119066742,0.2991834307848311,0.6227707184610753,0.09050079684927569,-0.2054917239225681,0.1785865796873773,1
6,10,-0.18750276911142216,-0.19777181361140372,0.9818540949034085,0.09050080615101044,-0.2054917226060537,0.17858657879097545,1
6,10,0.13904214929035552,0.030964437461155514,0.45729036668165457,0.09050080829327432,-0.20549172229877177,0.17858657858582544,1
6,10,-0.16316192491751624,0.40878842919912817,0.2070843166972971,0.09050080703243248,-0.20549172248122022,0.1785865787060553,1
6,10,0.36579224017427636,0.2346472856818571,0.7636365372640184,0.09050080855364351,-0.2054917222599883,0.17858657856134127,1
6,10,0.10576413507779381,-0.4626409879089044,0.08372147047721179,0.09050080549962153,-0.20549172270313806,0.17858657885219145,1
6,10,-0.48208227972888396,-0.10825173282290534,0.7008109442887758,0.09050080668514876,-0.20549172253046438,0.17858657873949535,1
6,10,-0.24763495488168275,-0.47353871792854796,0.35065879159086166,0.09050080652715269,-0.2054917225527206,0.1785865787547557,1
6,10,-0.23550903801259504,-0.15727341042615905,0.4605356779463097,0.09050080895389999,-0.20549172219136708,0.17858657852658774,1
6,10,0.37109070968259195,-0.10811923878613272,0.5391742169254858,0.09050080668572703,-0.2054917225278828,0.17858657874023717,1
6,10,0.4266739940831761,0.45511742927414356,0.7123412885323708,0.09050080506210183,-0.20549172276346162,0.1785865788948684,1
6,10,-0.26884838405888,-0.01567768438702566,0.8334346368538552,0.09050080595139488,-0.2054917226334146,0.17858657881049753,1
6,10,0.044120316901758105,-0.4472440146016412,0.19527347243313997,0.09050080621662858,-0.20549172260600562,0.17858657878170722,1
6,10,-0.4761749029779556,0.12358267283879831,0.3161488314940242,0.09050080609714399,-0.20549172261382098,0.178586578796121,1
6,10,-0.3885210890649562,0.3179370112781321,0.4340753584801711,0.0905008047350388,-0.20549172279823028,0.17858657893006005,1
6,10,-0.19396438573739516,-0.4754687053329891,0.9601736378191741,0.09050080606749851,-0.20549172261824647,0.17858657879890494,1
6,10,0.364802415488241,0.08511653674116304,0.6567057091861805,0.09050079960512267,-0.20549172352749426,0.1785865794234263,1
6,10,-0.2524463678875346,-0.2000530369731881,0.9789163158077099,0.0905008056682596,-0.20549172267574897,0.17858657883706325,1
6,10,0.09938090036652247,-0.008839209571871454,0.6061937253163603,0.09050080566474347,-0.20549172267330781,0.17858657883833923,1
6,10,-0.047427273563415584,-0.18900172211382293,0.803231296260879,0.09050080595208101,-0.20549172263398796,0.1785865788102176,1
6,10,0.027110834026855546,-0.2142966765578791,0.5304258742887151,0.0905008001076757,-0.20549172345507447,0.1785865793754073,1
6,10,0.15377132776882863,0.33892046429109657,0.3199655181188208,0.09050080515208897,-0.20549172274779198,0.1785865788871318,1
6,10,-0.21364496428722202,-0.09680169587843945,0.05996811535444113,0.09050080623477012,-0.20549172259426243,0.17858657878288312,1
6,10,0.2696187038156568,0.4815481351380593,0.009806433390100011,0.0905008127700106,-0.20549172167429783,0.17858657815147078,1
6,10,0.30732452507025165,-0.041631268309926694,0.25838617501635563,0.09050080628499203,-0.2054917225868955,0.17858657877812534,1
6,10,0.4541971926808661,0.060421235066689505,0.9006156935171405,0.0905008054753579,-0.20549172270194319,0.17858657885600707,1
6,10,0.1269495435096235,-0.08979522972910825,0.9414428689558341,0.09050080520374651,-0.20549172274063748,0.1785865788821034,1
6,10,-0.27880231880814965,0.4656672701353919,0.8221110741351862,0.09050080539332797,-0.20549172271262311,0.17858657886420917,1
6,10,-0.12271180385518488,0.32913453396665737,0.33595756494681295,0.09050080582527022,-0.2054917226503672,0.17858657882293918,1
6,10,0.11087242478439441,0.3380691295846321,0.7798355292057308,0.09050080575545942,-0.20549172266242294,0.17858657882897336,1
6,10,-0.3359207818088841,-0.19755551235047308,0.8604636175672205,0.09050080631471318,-0.20549172258387227,0.17858657877488401,1
6,10,-0.40918364478063163,0.0707900695500967,0.4859559134297642,0.09050080553604667,-0.20549172269233834,0.17858657885048188,1
6,10,-0.25930465690269044,0.3259919787645458,0.8237032575104066,0.09050080578161578,-0.2054917226588809,0.1785865788264016,1
6,10,-0.08574108341007403,0.25363135424091654,0.6642677507322607,0.09050080512162259,-0.2054917227524033,0.17858657888997256,1
6,10,0.418837429153222,-0.02830346932386396,0.5993493880924803,0.09050080499385618,-0.20549172277051683,0.17858657890227625,1
6,10,-0.06002363164040747,-0.18605014315759805,0.8160578164384511,0.09050080568689588,-0.20549172267085325,0.17858657883598714,1
