Delta,Omega,Re[rho_eg],Im[rho_eg],rho_ee,SSRe[rho_eg],SSIm[rho_eg],SSrho_ee,ss
2,13,-0.27912849750701274,0.41451587329685036,0.8495017179875628,0.4872129575330563,-0.09450686616884905,0.05940111064068887,1
2,13,0.32391911514444494,-0.4590962873084763,0.7952290291077051,0.48721298355654574,-0.09450669944456208,0.059401044342285894,1
2,13,0.47337081511116086,0.2103120210395426,0.7699948266475056,0.4872129900858611,-0.09450666003806178,0.05940102948932107,1
2,13,-0.05727227169327587,-0.037296495069424784,0.16383672978534025,0.4872130016102029,-0.09450658558867892,0.059400999678688435,1
2,13,0.3693701658070163,0.36965629299391134,0.9536193296768147,0.48721300786043636,-0.09450654666283,0.05940098457909938,1
2,13,-0.49356317611145983,0.12160242991749692,0.3530334264930941,0.4872129526800176,-0.09450689710296645,0.059401122926830086,1
2,13,-0.00633968749288627,0.06657649048684289,0.3948535869794536,0.4872129766924928,-0.0945067378841368,0.0594010579119758,1
2,13,0.18886759852892587,-0.4308025253000767,0.4223372773466474,0.48721299294179765,-0.09450664302785551,0.059401023146956236,1
2,13,-0.31078917799512173,-0.30767476793235415,0.30546499722243126,0.48721301578532095,-0.09450649580602129,0.05940096431494345,1
2,13,-0.042234335297892445,-0.17787425136977308,0.2576619674864249,0.4872129527803647,-0.0945068957769689,0.05940112212603295,1
2,13,-0.03427335490184524,0.29566965492165,0.08555979516857448,0.4872130070677154,-0.09450654948769333,0.05940098465831275,1
2,13,0.4035318520620388,0.23871388775683577,0.1392459074529102,0.48721296138501524,-0.09450684167842409,0.059401100994740434,1
2,13,-0.2417708015002309,0.28005600430030375,0.02939294839900297,0.48721301989008886,-0.09450647004614408,0.05940095426010653,1
2,13,0.30776273931538034,-0.1511934927817058,0.5158844182590512,0.4872129826963846,-0.09450670189576028,0.059401044115727004,1
2,13,0.07629777016659389,-0.16321655649189504,0.22201458871762014,0.4872130062701457,-0.0945065545339783,0.05940098686640353,1
2,13,-0.17944387055670052,-0.3607751676311961,0.8850623196265204,0.48721298293491966,-0.09450670591392252,0.05940104776366594,1
2,13,0.2212249186760742,-0.1635429795507617,0.705352747627428,0.48721295423920513,-0.09450688627492927,0.05940111829462703,1
2,13,-0.16352104177915883,0.4955778427962301,0.3350886783353053,0.4872129854910909,-0.09450668793894125,0.05940104006660745,1
2,13,-0.15093551997741272,-0.03420954492344874,0.6312781253200794,0.48721300530847955,-0.09450655945890687,0.05940098835798496,1
2,13,-0.03565625216544355,0.1417142476528761,0.3205132534498676,0.4872130100223559,-0.09450653345357474,0.05940097942272728,1
2,13,-0.439211197321723,0.4282116738724677,0.9594434291749612,0.4872129551835367,-0.09450688006547207,0.059401115810536524,1
