Delta,Omega,Re[rho_eg],Im[rho_eg],rho_ee,SSRe[rho_eg],SSIm[rho_eg],SSrho_ee,ss
5,11,-0.22840271155130853,-0.4308950088583594,0.49270970956493376,0.12162230147878449,-0.2259568079298527,0.20243976646847517,1
5,11,0.24379890132662507,-0.18687060200005923,0.6350484662225377,0.12162231383832736,-0.22595680626747572,0.20243976506687925,1
5,11,-0.3290943837696221,0.0662427596208901,0.006033226366008115,0.12162230656263272,-0.22595680721976763,0.20243976590119667,1
5,11,-0.41418958211787116,0.4564030137046273,0.36650556854008,0.12162232017210908,-0.22595680551863595,0.20243976431317107,1
5,11,0.012442198699917029,-0.17688729878227472,0.06883688224969053,0.12162230991840096,-0.22595680679580651,0.20243976551115994,1
5,11,0.2913259403552404,0.008255553058999165,0.06461163663321345,0.12162231069741328,-0.22595680669660567,0.20243976542088368,1
5,11,0.33031623636612295,0.13272759781538612,0.034201107831522526,0.12162231111533035,-0.22595680664784604,0.2024397653709306,1
5,11,-0.14162727627043936,0.322349234571637,0.8269558308714264,0.12162230270809418,-0.22595680773894286,0.2024397663382133,1
5,11,0.4621234469095059,-0.3832120291545684,0.8472926364176498,0.12162230876896461,-0.225956806954469,0.20243976564016725,1
5,11,-0.05236046419656892,-0.23502609218165404,0.7438906265433161,0.12162231420360788,-0.22595680626518033,0.20243976500943336,1
5,11,0.24789899654592995,-0.285220045812028,0.18440127379275206,0.12162231051844771,-0.22595680672399815,0.20243976544005218,1
5,11,-0.014500080562663165,-0.3276689799705852,0.9484401654807895,0.12162230739562219,-0.2259568071145003,0.2024397658043894,1
5,11,-0.27971449277971283,0.23663818510049217,0.8562564901636232,0.12162230590401436,-0.22595680729911877,0.20243976597906263,1
5,11,-0.034116066809084966,-0.39588277616998324,0.7077444884717017,0.1216223205130625,-0.2259568054735387,0.20243976427426186,1
5,11,-0.17045615185477736,0.3085717694847787,0.3835750123282291,0.12162230994034551,-0.22595680679840954,0.20243976550677384,1
5,11,-0.11050831562659535,-0.3433055908590559,0.32532333985328576,0.12162231173262551,-0.22595680657022757,0.20243976529905708,1
5,11,0.1370941020444265,0.16900544423673214,0.3657747961461084,0.12162230290949966,-0.2259568076782487,0.20243976632683627,1
5,11,-0.4984346055139386,-0.14380467400265973,0.16717755747444518,0.12162231517239994,-0.2259568061169795,0.20243976490563165,1
5,11,-0.04933744566953169,-0.22813498380052244,0.28582329949247565,0.12162230570458646,-0.22595680728194262,0.2024397660167172,1
5,11,0.12559222318748042,0.17414101840055562,0.6500890679530533,0.12162231969133241,-0.2259568055689267,0.2024397643725886,1
5,11,-0.20257455456304552,-0.12078187978239541,0.5111206542126476,0.1216223020918088,-0.22595680778655167,0.20243976642016673,1
5,11,0.39763519410253045,-0.1631066303558686,0.6592584922788474,0.12162230828945653,-0.2259568069990237,0.20243976570137207,1
5,11,-0.1265291546761207,-0.44432087346462446,0.56881400859796,0.12162230688830117,-0.22595680722019784,0.2024397658491508,1
5,11,-0.3050400503753916,-0.2709496204880484,0.26067116889735065,0.12162230749151993,-0.2259568071030203,0.20243976579302614,1
5,11,0.14631265468125276,-0.22126196800423403,0.5191518096258203,0.12162230606843313,-0.22595680727790732,0.2024397659601027,1
5,11,-0.1447990284464895,-0.44083251508230825,0.12713102809595855,0.12162230730008716,-0.2259568071317826,0.20243976581371326,1
5,11,0.15805488280513114,0.2447209023439234,0.007308033341388409,0.12162229607072189,-0.22595680853695393,0.20243976712349146,1
5,11,-0.046355435256161925,0.20989058626922819,0.0440084719857774,0.12162231053306584,-0.2259568067221433,0.20243976543835582,1
5,11,0.027327723973830098,-0.08782960098287163,0.22161392989654716,0.1216223203125035,-0.22595680547610966,0.2024397643053561,1
5,11,-0.2336043445448408,-0.10381504549250775,0.8020422423733025,0.12162230910559346,-0.22595680690149356,0.20243976560460752,1
5,11,0.3140615573562966,-0.40655099334771827,0.45900151150436264,0.12162230950618189,-0.2259568068517143,0.20243976555776427,1
5,11,-0.295483664187866,0.3660923993833638,0.2505472675407745,0.12162230784557136,-0.22595680705749083,0.2024397657521485,1
5,11,-0.11993808992410204,0.19307789946516718,0.06220491804688866,0.12162231338088815,-0.22595680636562407,0.20243976510624015,1
5,11,0.09136121676067033,-0.2793162827116795,0.9294953844061531,0.12162231114010415,-0.2259568066426128,0.20243976536877048,1
5,11,-0.0634434982181451,0.2950711586024861,0.20574983644009537,0.12162230789805811,-0.2259568070521956,0.2024397657455915,1
5,11,-0.1821238549533435,0.33519147116928716,0.6686409953149084,0.12162230511770981,-0.22595680739968588,0.20243976607003697,1
5,11,-0.12309659290109032,0.15924350739706017,0.009050144097758395,0.12162230862041877,-0.22595680696006476,0.20243976566192962,1
5,11,0.2646791707660372,0.4745019622547577,0.46186456546034305,0.12162231166903521,-0.22595680657609846,0.2024397653071886,1
5,11,0.45025911696961085,0.3140354038466353,0.053311696521518126,0.12162231399076878,-0.22595680628493964,0.20243976503659805,1
5,11,-0.20462727971303707,-0.16577617285752977,0.9121244775708441,0.1216223163041588,-0.22595680600588633,0.20243976476320955,1
