Delta,Omega,Re[rho_eg],Im[rho_eg],rho_ee,SSRe[rho_eg],SSIm[rho_eg],SSrho_ee,ss
-5,3,0.2705530439904398,0.021273323952609946,0.9125186716222979,0.01144836845118046,-0.05697896825167044,0.08910463084309132,1
-5,3,-0.25568703462138775,0.2857059059627738,0.15019920106033346,0.011448368332399107,-0.056978968242605225,0.08910463083059297,1
-5,3,0.4849901144960762,0.3988319320703464,0.5905587176729978,0.011448368332389828,-0.056978968242604504,0.08910463083059202,1
-5,3,0.2901746903070739,-0.2961977759586829,0.7651501463566832,0.01144836833239599,-0.05697896824260501,0.08910463083059267,1
-5,3,-0.15358804097469214,-0.3852231339468586,0.7305104345153572,0.011448368332393127,-0.05697896824260475,0.08910463083059236,1
-5,3,0.038464397996458954,-0.11257641068294078,0.383206280129051,0.011448368332395473,-0.05697896824260495,0.08910463083059261,1
-5,3,-0.14015866652956444,-0.38155839932506797,0.3026059110609933,0.011448368332392725,-0.05697896824260471,0.08910463083059231,1
-5,3,0.4663280371683438,0.1637285120498122,0.7576148298695287,0.011448368332397813,-0.05697896824260513,0.08910463083059286,1
-5,3,-0.12023372355971951,-0.045732193141251765,0.5766148047519384,0.011448368332397407,-0.0569789682426051,0.08910463083059282,1
-5,3,0.3916970602146541,-0.22683390584954588,0.1456928059076803,0.011448368332394262,-0.05697896824260484,0.08910463083059246,1
-5,3,-0.33856319267203694,-0.26410791121960053,0.9877532379721927,0.011448368332396644,-0.05697896824260504,0.08910463083059274,1
-5,3,0.1828099113339956,-0.4169879801907139,0.9122603662383217,0.011448368332396298,-0.05697896824260501,0.08910463083059271,1
-5,3,0.11418612820461194,-0.2691197980312887,0.6280738854269652,0.011448368332396545,-0.056978968242605024,0.08910463083059272,1
-5,3,0.4822693733178074,0.4383616899986702,0.1383419483655577,0.011448368332390676,-0.05697896824260455,0.08910463083059209,1
-5,3,-0.17328726492045265,0.4604103155832979,0.897113286329134,0.011448368332396524,-0.05697896824260503,0.08910463083059274,1
-5,3,0.2381711023674178,-0.046273295918434654,0.8966971796604228,0.01144836833239488,-0.05697896824260495,0.08910463083059258,1
-5,3,-0.01950814587822891,-0.060145472238084974,0.9728387592219707,0.011448368332396224,-0.05697896824260502,0.0891046308305927,1
-5,3,-0.014133553327913884,0.16334212414753058,0.3408434354153287,0.011448368332393826,-0.056978968242604816,0.08910463083059245,1
-5,3,-0.1807823700885125,-0.47171862156546274,0.4264031885780082,0.011448368332394453,-0.056978968242604885,0.08910463083059253,1
-5,3,0.04913002913584141,0.4006058071253451,0.8260970195360362,0.011448368332392949,-0.056978968242604754,0.08910463083059234,1
-5,3,-0.14893072800142004,-0.24885019510052397,0.38680434683533016,0.011448368332395846,-0.056978968242604955,0.08910463083059265,1
-5,3,-0.16766632506593426,-0.15334450245893727,0.0532285206166212,0.011448368332396314,-0.05697896824260501,0.0891046308305927,1
-5,3,-0.2799370936298966,-0.34731916565695786,0.6075871634319452,0.011448368332394309,-0.05697896824260483,0.08910463083059247,1
-5,3,-0.2989536369436854,-0.1363201397708036,0.3568927115341791,0.011448368332397296,-0.056978968242605066,0.0891046308305928,1
-5,3,-0.20362680021121893,-0.053729923114419265,0.35838428348737716,0.011448368332396123,-0.05697896824260497,0.08910463083059267,1
-5,3,-0.09107920745853204,-0.40710497640659815,0.30064903779478436,0.011448368332396106,-0.05697896824260499,0.08910463083059268,1
-5,3,0.4918617024080052,-0.2995275914184954,0.44563535902986096,0.011448368332397426,-0.05697896824260511,0.08910463083059283,1
-5,3,0.30135515046513595,-0.3497835927791886,0.12806929485531127,0.011448368332394862,-0.056978968242604885,0.08910463083059254,1
-5,3,-0.075091492947289,0.14109950692499518,0.9973985547497652,0.01144836833239816,-0.05697896824260517,0.08910463083059292,1
-5,3,0.009301969246131803,-0.275082421756085,0.8197375864515708,0.011448368332397854,-0.056978968242605135,0.08910463083059288,1
-5,3,-0.28096026506201155,0.20864528796608917,0.6716498446738988,0.011448368332390664,-0.05697896824260459,0.0891046308305921,1
-5,3,0.17608658012407785,0.11718040096707849,0.37546552909684827,0.011448368332395082,-0.05697896824260493,0.08910463083059257,1
-5,3,-0.25930689189614964,-0.3600144343176359,0.9215180249578641,0.01144836833239631,-0.05697896824260501,0.08910463083059271,1
-5,3,-0.43485979155038756,0.4475829183691422,0.30542996468497363,0.011448368333315377,-0.05697896824267617,0.08910463083069006,1
-5,3,-0.25672561389888093,-0.3579797806526561,0.7091071937280908,0.011448368332395539,-0.05697896824260495,0.08910463083059261,1
-5,3,-0.07963852989046982,0.04774310857199837,0.9761328533744187,0.011448368332398463,-0.056978968242605184,0.08910463083059296,1
-5,3,0.4411787112482568,0.25122735866283863,0.3689965446382557,0.011448368332399839,-0.056978968242605295,0.08910463083059308,1
-5,3,0.39580018496374136,-0.3798736749666227,0.03189416546036594,0.01144836833239648,-0.056978968242605024,0.08910463083059274,1
-5,3,-0.31620969057906967,-0.02334607015321133,0.43615998305583537,0.011448368332395664,-0.056978968242604955,0.08910463083059263,1
-5,3,0.1680908404159729,0.32246375407462735,0.16786884146683212,0.01144836833239294,-0.05697896824260476,0.08910463083059236,1
-5,3,0.06372362885003868,-0.48120173972078617,0.03954885476713055,0.011448368332395892,-0.05697896824260499,0.08910463083059267,1
-5,3,-0.05567309005215493,-0.2033854162309814,0.968977395651232,0.011448368332395483,-0.05697896824260495,0.08910463083059264,1
-5,3,-0.018565073784519548,0.4865706328363897,0.10186376239583761,0.011448368332398512,-0.056978968242605184,0.08910463083059293,1
-5,3,-0.19568360873140977,0.3221134676894448,0.5189915736541306,0.011448368332395669,-0.05697896824260496,0.08910463083059264,1
-5,3,0.19193553037636324,0.3699896701251002,0.3648522174972946,0.011448368332397861,-0.05697896824260513,0.08910463083059286,1
-5,3,-0.22852086676970584,0.18913477685794788,0.06334431923544193,0.011448368332394309,-0.056978968242604865,0.0891046308305925,1
-5,3,0.4293147663756771,-0.48652814577728765,0.5914887943711387,0.011448368332390376,-0.05697896824260457,0.08910463083059209,1
-5,3,0.1835464516359422,0.08674480079600766,0.3907572815208473,0.011448368332400902,-0.05697896824260539,0.0891046308305932,1
-5,3,-0.19587190539559618,0.03660310891558227,0.25262745343300397,0.01144836833239244,-0.05697896824260472,0.0891046308305923,1
-5,3,0.1809702394231094,0.17957530434366342,0.48717483200512524,0.011448368332402491,-0.05697896824260549,0.08910463083059335,1
-5,3,-0.27045954979310105,0.3274963311691408,0.0626570305375409,0.011448368332395879,-0.05697896824260497,0.08910463083059265,1
-5,3,-0.29048339913980015,-0.472521651764781,0.987651629946781,0.011448368332396876,-0.05697896824260506,0.08910463083059277,1
-5,3,0.17442415560860391,0.45767979136526993,0.9192695118336704,0.011448368332395906,-0.05697896824260499,0.08910463083059265,1
-5,3,-0.3282047883099557,0.032306927698698695,0.0230490796557834,0.01144836833239769,-0.05697896824260512,0.08910463083059285,1
-5,3,-0.4930451284779529,-0.10759947138390746,0.09786494146523972,0.011448368332396828,-0.05697896824260505,0.08910463083059275,1
-5,3,-0.29397884377648675,0.21492782047379677,0.49423837585437624,0.011448368332396435,-0.056978968242605024,0.08910463083059271,1
-5,3,-0.32955905943731656,-0.003052885721892773,0.21858527067531863,0.011448368332395892,-0.056978968242604976,0.08910463083059265,1
-5,3,0.369274139655265,-0.2673241321407549,0.20496739584065704,0.01144836833239677,-0.05697896824260503,0.08910463083059274,1
-5,3,-0.13243212942238514,0.43966447679014276,0.43048930211679504,0.011448368332331333,-0.056978968242599945,0.08910463083058578,1
-5,3,0.3186646411823437,-0.20432612357382585,0.7206982950448955,0.011448368332396635,-0.05697896824260504,0.08910463083059274,1
-5,3,-0.345518360019867,-0.3525309551055642,0.30927438966189347,0.011448368335306615,-0.056978968242828956,0.08910463083090014,1
-5,3,0.3558367379777254,-0.06348626662196555,0.29665048573333164,0.01144836833239646,-0.05697896824260506,0.08910463083059274,1
-5,3,-0.05391608854368557,-0.16468386998636508,0.11752873025814936,0.01144836833239651,-0.05697896824260503,0.08910463083059271,1
-5,3,0.2973587991427298,-0.06761295160466196,0.21137084831862651,0.011448368332400536,-0.056978968242605336,0.08910463083059315,1
-5,3,0.43725395961205216,-0.04121987211494971,0.2684914777458165,0.011448368332510244,-0.056978968242612546,0.08910463083060391,1
-5,3,-0.008591544118362826,-0.4207903119299403,0.2040055422036411,0.011448368332399062,-0.056978968242605225,0.08910463083059299,1
-5,3,0.0030246828831246297,-0.2211041130980118,0.9624442909116333,0.011448368332392938,-0.056978968242604774,0.08910463083059236,1
-5,3,-0.19011737562242836,0.22686547324612127,0.00899795562672745,0.011448368332391903,-0.056978968242604656,0.08910463083059224,1
