Delta,Omega,Re[rho_eg],Im[rho_eg],rho_ee,SSRe[rho_eg],SSIm[rho_eg],SSrho_ee,ss
-7,8,-0.23520479965734387,-0.05290666065106442,0.9589807109004007,0.11770802260695536,-0.12647890072269852,0.2720307944085203,1
-7,8,-0.4960260604285862,0.13983053656136524,0.2683221620863021,0.11770802258752351,-0.12647890072845017,0.2720307944070073,1
-7,8,0.0989265099919181,0.3901451995185372,0.5533321201919144,0.11770802259174382,-0.12647890072715048,0.2720307944072679,1
-7,8,-0.3992638108568094,0.4315723874590054,0.7425831013013704,0.11770802262266279,-0.12647890071801612,0.2720307944096987,1
-7,8,-0.04856414962465583,0.46566230533891906,0.8332317149253554,0.11770802214260097,-0.12647890086761163,0.2720307943824252,1
-7,8,0.2481291762824982,0.1241334963433276,0.6217044170564365,0.11770802260229789,-0.12647890072399204,0.27203079440804306,1
-7,8,-0.3483110502912041,-0.4217995969077952,0.7106418654335349,0.11770802261864785,-0.1264789007192217,0.2720307944094092,1
-7,8,-0.14773386497305974,-0.3684504729426632,0.9514686794341825,0.11770802260274063,-0.12647890072394136,0.27203079440818584,1
-7,8,0.3685211143813558,-0.2421069920247565,0.4564761973002569,0.11770802259852675,-0.12647890072518103,0.2720307944078474,1
-7,8,0.07465912738882263,0.478864892371059,0.04715005602614997,0.11770802258480521,-0.12647890072926637,0.2720307944068112,1
-7,8,-0.37083518408554705,-0.47567657006132213,0.5030698540656549,0.11770802266106847,-0.12647890070654239,0.27203079441254613,1
-7,8,-0.38838838973818923,-0.16988916122694975,0.15621535459527514,0.11770802259931207,-0.12647890072496704,0.2720307944079335,1
-7,8,-0.2887081305880359,0.012327984302838546,0.8051045498787159,0.11770802346693739,-0.126478900470421,0.2720307944785361,1
-7,8,0.23123655778977326,0.3925520994689897,0.616484799325232,0.11770802260305478,-0.12647890072378856,0.2720307944081298,1
-7,8,-0.21746428990247946,-0.4760159995447495,0.11888211703242035,0.11770802260867072,-0.1264789007221991,0.27203079440866507,1
-7,8,-0.4074622451505878,0.29498979417671123,0.3143052128182202,0.1177080226126815,-0.12647890072097867,0.2720307944089325,1
-7,8,-0.4276553711668045,0.3601121014634112,0.10015063694853987,0.11770802262037615,-0.12647890071865475,0.2720307944094692,1
-7,8,0.4665878865516673,0.014037727020836721,0.4722176592337164,0.11770802258226105,-0.12647890072995416,0.2720307944065253,1
-7,8,0.37969919933688434,-0.434124574933872,0.29639554293104986,0.11770802260224501,-0.12647890072410425,0.2720307944081691,1
-7,8,-0.11098219435093815,-0.028225369414342394,0.5741232268005991,0.1177080225673053,-0.1264789007344337,0.272030794405432,1
-7,8,-0.31584541037179403,0.3913330852474244,0.23801151507856066,0.117708022582809,-0.12647890072993756,0.2720307944067641,1
-7,8,-0.2704590101822082,0.0700046083181387,0.6571089479200412,0.11770802262388559,-0.12647890071757845,0.27203079440969186,1
-7,8,0.36494158493659534,-0.47310396991193127,0.5031275719779611,0.11770802257723952,-0.12647890073153564,0.2720307944062625,1
-7,8,0.23393686519634072,0.3008529713249799,0.5644545747037899,0.1177080226136842,-0.12647890072065257,0.2720307944089711,1
-7,8,-0.4157835027019874,-0.4529244273169273,0.8894501301445512,0.11770802261911305,-0.1264789007190514,0.2720307944094016,1
-7,8,0.2474097466657894,0.4456703588862001,0.42850079058013546,0.11770802266240342,-0.12647890070556228,0.2720307944118617,1
-7,8,0.21737025238489083,-0.4293090454936892,0.4575483349321132,0.11770802259850158,-0.12647890072516985,0.2720307944078204,1
-7,8,-0.3903732238403601,-0.3261942392853783,0.19187125687616402,0.11770802260406225,-0.12647890072346146,0.2720307944081693,1
-7,8,-0.35947021121531275,0.3869646127382702,0.21755236770702258,0.11770802257945046,-0.1264789007308051,0.272030794406332,1
-7,8,-0.03697022095565261,-0.44740608793546977,0.7307418859308654,0.11770802258197617,-0.12647890073012893,0.2720307944066249,1
-7,8,0.22251472224268976,0.28140268839183347,0.4466705178835144,0.11770802258654747,-0.12647890072876203,0.27203079440696215,1
-7,8,-0.01618915395833498,0.1774767785127298,0.3315835192164587,0.11770802259341548,-0.12647890072664866,0.2720307944073886,1
-7,8,0.24871452921564807,-0.2684896291413832,0.5584010974995164,0.11770802263320124,-0.12647890071482862,0.2720307944104274,1
-7,8,-0.14555498999922523,0.1181223606554398,0.9788715566418051,0.11770802260390816,-0.12647890072356496,0.27203079440823524,1
-7,8,0.09755293972918322,0.025793091211920194,0.8384723904166471,0.11770802268820532,-0.1264789006982101,0.2720307944142552,1
-7,8,-0.2094007108640905,-0.06199612012909772,0.23794739556733435,0.11770802260721495,-0.12647890072297624,0.2720307944090182,1
-7,8,0.19000275189184013,0.22495999059021599,0.26344561174631353,0.11770802259464025,-0.1264789007265139,0.2720307944077908,1
-7,8,-0.34409507250201443,0.45398112937901525,0.16014076580869196,0.11770802258598519,-0.1264789007289564,0.2720307944069561,1
-7,8,-0.38136168057996134,-0.3051514568501872,0.8463995086070852,0.11770802256464227,-0.12647890073521298,0.2720307944052125,1
-7,8,0.2578082383816336,-0.06157148415727276,0.8748641547846561,0.11770802261034653,-0.1264789007216112,0.27203079440867173,1
-7,8,0.15511964512077503,0.3027292354743252,0.948861920688788,0.11770802257513899,-0.1264789007320855,0.27203079440600203,1
-7,8,-0.24902269415195688,-0.12614605418335323,0.754944689896428,0.11770802233062169,-0.12647890080638555,0.27203079438955774,1
-7,8,0.05313468708736635,0.09346578390661486,0.4391273220488858,0.1177080226075652,-0.1264789007229621,0.2720307944091662,1
-7,8,0.40701174532269224,-0.3766759837411009,0.5215453747722467,0.11770802258899993,-0.12647890072804405,0.2720307944071638,1
-7,8,-0.04687725869678161,-0.3465694060392901,0.5209161827798181,0.11770802263217076,-0.12647890071508486,0.27203079441028144,1
-7,8,-0.14573884497755074,0.488855690889584,0.9801034766315548,0.11770802260271175,-0.12647890072399165,0.27203079440823935,1
-7,8,0.43106130163679257,-0.30057989460449486,0.9408393926506513,0.11770802262751263,-0.12647890071626963,0.27203079440965733,1
-7,8,-0.4165883322262349,-0.15133508521017114,0.47712320757267523,0.11770802268127724,-0.12647890070028095,0.27203079441374295,1
-7,8,0.3059523271897586,-0.2915911157496913,0.1813932371208835,0.11770802261124064,-0.12647890072137674,0.2720307944087821,1
