Delta,Omega,Re[rho_eg],Im[rho_eg],rho_ee,SSRe[rho_eg],SSIm[rho_eg],SSrho_ee,ss
1,11,0.40610708716158106,0.4719940903674995,0.8888286884557932,0.17099123160787597,-0.22419050973528207,0.24950720306026322,1
1,11,0.23580354361706513,0.38177830907965604,0.3795331051880837,0.17099123160787957,-0.22419050973528173,0.24950720306026317,1
1,11,-0.06825499016885228,-0.19131298079312797,0.013935074974484651,0.1709912316078803,-0.2241905097352817,0.24950720306026314,1
1,11,0.3130771042860483,-0.06354111695804021,0.803482229881322,0.17099123160789462,-0.22419050973528035,0.24950720306026308,1
1,11,0.4933568983797538,0.48682485543540954,0.29416751363409954,0.1709912316078826,-0.2241905097352814,0.24950720306026322,1
1,11,-0.050952461852934894,-0.0346810959621453,0.46428688597587775,0.4931482483521574,-0.05736334594484675,0.05888385934802025,3
1,11,0.05262145804488361,-0.32023241655794066,0.42498353615761153,0.1709912316078765,-0.224190509735282,0.24950720306026325,1
1,11,0.38879523830646723,0.4995717367368351,0.5212111659535801,0.17099123160787988,-0.22419050973528168,0.2495072030602632,1
1,11,-0.30829136637179455,0.04329082924618599,0.7526623896117248,0.17099123160789786,-0.22419050973527993,0.24950720306026306,1
1,11,0.10355364693256597,0.15651611376778618,0.8710479774622786,0.17099123160788285,-0.2241905097352814,0.24950720306026314,1
1,11,-0.2893801356383081,0.41949670095724967,0.5530529497778631,0.17099123160787946,-0.22419050973528182,0.24950720306026317,1
1,11,0.2873623724648662,0.12931513669562955,0.2386593880280503,0.17099123160788035,-0.22419050973528165,0.2495072030602632,1
1,11,0.11521213627289906,-0.012231555822544093,0.5944972141451363,0.4931482615727023,-0.057363209284416544,0.05888382084150069,3
1,11,-0.33310685182118926,0.007035417671454214,0.07205715301487103,0.17099123160787935,-0.2241905097352818,0.24950720306026322,1
1,11,-0.025741028513404984,0.35075600992705835,0.6076043377615272,0.4931482547353506,-0.057363279842138154,0.05888384068380017,3
1,11,0.23917328688172734,-0.44323972180469373,0.9036940552898298,0.1709912316078973,-0.22419050973528018,0.24950720306026292,1
1,11,0.4465722721318701,-0.48926614140262936,0.8860675731815477,0.17099123160783636,-0.22419050973528576,0.24950720306026364,1
1,11,-0.48434738101608343,0.47162590275653016,0.5764456453923901,0.17099123160787594,-0.22419050973528207,0.24950720306026322,1
1,11,-0.4671829497190956,-0.2926728359403039,0.6250673565546099,0.17099123160788016,-0.2241905097352817,0.24950720306026314,1
1,11,-0.1627627771241349,0.14555033488168223,0.27151334120508075,0.17099123160788504,-0.22419050973528118,0.2495072030602632,1
1,11,-0.377798827730111,0.3789090344270625,0.669485749162513,0.170991231607899,-0.22419050973527993,0.24950720306026297,1
1,11,-0.3357625436959275,0.487981690904403,0.4547009654665468,0.17099123160787857,-0.22419050973528185,0.2495072030602632,1
1,11,-0.3915002116834596,-0.3862440113758181,0.09181836643978314,0.17099123160787758,-0.2241905097352819,0.24950720306026325,1
1,11,-0.15766376084418843,-0.23185133050393247,0.31816938649574333,0.1709912316079013,-0.22419050973527965,0.24950720306026303,1
1,11,-0.06922850646486789,0.1485388765403033,0.8836808208682696,0.17099123160788657,-0.22419050973528104,0.24950720306026317,1
1,11,0.26421694544170027,0.4978113747569042,0.45001782329817086,0.1709912316078784,-0.22419050973528185,0.24950720306026325,1
1,11,0.06668320028355201,-0.36540598292704507,0.6721253160704894,0.17099123160788865,-0.22419050973528096,0.24950720306026306,1
1,11,0.39997355376451993,0.27151755880192274,0.598174805879629,0.17099123160788138,-0.2241905097352815,0.24950720306026328,1
1,11,0.27610050790885876,-0.49434124042076477,0.9370732946491678,0.17099123160787602,-0.22419050973528204,0.2495072030602633,1
1,11,-0.013986658260133122,-0.07123536196535363,0.9028079591467244,0.17099123160788662,-0.22419050973528104,0.2495072030602632,1
1,11,-0.311482705074815,-0.42032221294042627,0.7313124751816611,0.17099123160787894,-0.22419050973528173,0.24950720306026317,1
1,11,-0.318617792614583,-0.30126830755070744,0.6928979932872659,0.17099123160787846,-0.2241905097352819,0.24950720306026322,1
