Delta,Omega,Re[rho_eg],Im[rho_eg],rho_ee,SSRe[rho_eg],SSIm[rho_eg],SSrho_ee,ss
-7,6,-0.15242826559853073,-0.0578140492152428,0.3403095285933797,0.05522205250378672,-0.1025778091842451,0.19647110623588834,1
-7,6,0.3667455377812743,-0.38518866860659506,0.2946369978156633,0.05522205296618413,-0.10257780887361233,0.19647110603867213,1
-7,6,0.2923658765039936,0.04901684321987254,0.3013326581111613,0.05522205253154809,-0.10257780917544954,0.196471106233415,1
-7,6,-0.03921640029347695,0.44937485766357455,0.23305996780900973,0.055222052951410514,-0.10257780883785687,0.19647110600156073,1
-7,6,0.4312640065605049,-0.40308408727817,0.7865733016328338,0.05522205292934024,-0.10257780891004459,0.1964711060654871,1
-7,6,-0.18408712679004102,-0.22231753184938263,0.3284086409115041,0.055222052953906496,-0.10257780889387763,0.1964711060553298,1
-7,6,-0.15256156032082568,-0.18946887881200203,0.900524858753387,0.05522205254456184,-0.10257780916454153,0.19647110622580585,1
-7,6,-0.209485071656607,0.4629654238844765,0.998610050941706,0.055222052699981344,-0.10257780904257384,0.19647110614282598,1
-7,6,-0.29728836647485357,0.022179640813228207,0.7995076064768261,0.055222052711181746,-0.10257780905375698,0.1964711061558322,1
-7,6,0.46332995095036855,-0.3858764627498499,0.34252494302600645,0.05522205277617801,-0.10257780901140502,0.19647110612935872,1
-7,6,-0.08007059841244102,0.45899382393772004,0.054811992098675155,0.055222052547595386,-0.10257780917659742,0.1964711062379097,1
-7,6,-0.2823619613129602,0.02161433441427274,0.6749630648614728,0.05522205292224054,-0.1025778089103595,0.19647110606428023,1
-7,6,0.15917045830682808,-0.49055287197419495,0.18618655311021537,0.05522205291526458,-0.1025778089152677,0.19647110606746676,1
-7,6,0.37268388407826913,-0.36149982541792114,0.9704742091105314,0.05522205290522402,-0.10257780890101575,0.1964711060517919,1
-7,6,-0.259044126361174,0.2742377412680066,0.17977982699963846,0.0552220528343133,-0.10257780894658111,0.1964711060800668,1
-7,6,0.13615187116249405,0.3659607752141625,0.4733290122478362,0.05522205245651101,-0.10257780922955027,0.19647110626892808,1
-7,6,-0.1550374705677624,-0.213101514553524,0.7822399580542125,0.055222052635223534,-0.10257780912267944,0.1964711062052403,1
-7,6,-0.1524860079286352,0.3143557801050467,0.5990861307936355,0.05522205263151344,-0.10257780910494384,0.1964711061875946,1
-7,6,0.20404668011083626,-0.2249415667526513,0.6700921201798171,0.05522205286745606,-0.10257780894549146,0.19647110608605958,1
-7,6,0.1638193502459384,0.014696571059928276,0.9465741690001017,0.05522205251636759,-0.10257780918707467,0.19647110624124586,1
-7,6,0.30973249599675934,-0.36879711130134685,0.24890440370466083,0.05522205239910016,-0.10257780929151251,0.19647110631564677,1
-7,6,0.48445208604474765,0.4747869391533166,0.6032411647210718,0.05522205272715168,-0.10257780902603487,0.1964711061328668,1
-7,6,-0.24432440557635826,0.35377712425867114,0.39903706519289983,0.055222052572209246,-0.10257780917635242,0.19647110624289732,1
-7,6,0.29955718970427214,-0.4047219355417142,0.7013728330037052,0.05522205247975807,-0.10257780926419215,0.19647110630677014,1
-7,6,0.276827712858597,-0.2572303647709553,0.5172779874839302,0.05522205266248426,-0.1025778090931555,0.19647110618295668,1
-7,6,-0.3413116013210835,-0.49267374982531353,0.340441264083047,0.05522205297681769,-0.10257780888042635,0.19647110604740303,1
-7,6,-0.06528569406108531,0.36287801811373477,0.2106324025881241,0.055222052941546605,-0.1025778089010578,0.19647110605953172,1
-7,6,0.40383579371848133,-0.005299800599177118,0.8486191911313188,0.055222052627482296,-0.10257780912765518,0.1964711062083286,1
-7,6,0.20175486420249267,-0.4547045007582251,0.15313288493942512,0.05522205273396464,-0.10257780903866306,0.19647110614631577,1
-7,6,-0.2809195839064702,0.06663773640074622,0.8129207502443216,0.05522205243727597,-0.1025778092357858,0.19647110627077838,1
-7,6,0.17305988768378677,0.022626989526672636,0.9241861147672441,0.0552220527343168,-0.10257780903632628,0.1964711061441699,1
-7,6,0.25888323545288894,-0.3265382434714954,0.4646746031587059,0.05522205236127192,-0.10257780928113877,0.19647110629776943,1
-7,6,-0.07306872432767197,-0.4870129020212668,0.6971486515762348,0.055222052343424,-0.1025778092882953,0.19647110630079181,1
-7,6,0.30273693852800254,-0.23257251654282984,0.5480759847432861,0.0552220527685394,-0.1025778090203554,0.19647110613624702,1
-7,6,-0.4998798491780545,0.08234173177553972,0.45961903240304713,0.055222052608713164,-0.10257780913700795,0.19647110621323868,1
-7,6,0.12022695547700679,-0.2869188196801089,0.6119235553362758,0.055222052437200485,-0.10257780923664622,0.19647110627157993,1
-7,6,0.20942343797554686,-0.4695459206537631,0.3599478692767968,0.05522205293179365,-0.10257780890390168,0.19647110606016718,1
-7,6,0.13901444052631673,-0.4234601883047453,0.5921842791428922,0.05522205290868188,-0.10257780891623305,0.1964711060669908,1
-7,6,0.34310655968758486,-0.014708908612531157,0.9231470275013676,0.05522205231159417,-0.10257780931677679,0.19647110632111286,1
